Country,Warning Level,Recommendation,Threatened Area,Detail
Bolivia,"['Regular cautionary measures', 'No']","""While there is no travel warning for this country in the context of terrorism,"" due to the security situation in the country following the """"Iron Swords"""" war"""
Bosnia and Herzegovina,"['Regular cautionary measures', 'No']",['No information']
Botswana,"['Regular cautionary measures', 'No']",['No information']
Burundi,"['Regular cautionary measures', 'No']",['No information']
Burkina Faso,"['Avoid any visit to the country', 'Entire country']","""In recent years,"" there has been an escalation in terrorist activity in the country by global Jihad elements. In this context"""
Bahrain,"['Avoid non-essential travel', 'Entire country']","""Due to the presence of terrorist infrastructure in the country,"" there is a tangible risk to the security of Israelis visiting/staying in Bahrain."""""
Belarus,"['Regular cautionary measures', 'No']",['No information']
Belgium,"['Regular cautionary measures', 'No']",['No information']
Belize,"['Regular cautionary measures', 'No']",['No information']
Bangladesh,"['Avoid non-essential travel', 'Entire country']","""In Bangladesh,"" there is the presence and activity of supporters and members of global Jihad organizations; this activity poses a risk to Israelis visiting the country. Therefore"""
Benin,"['Regular cautionary measures', 'No']",['No information']
Barbados,"['Regular cautionary measures', 'No']",['No information']
Brunei,"['Regular cautionary measures', 'No']",['No information']
Brazil,"['Regular cautionary measures', 'No']",['No information']
Britain,"['Regular cautionary measures', 'No']",['No information']
Gabon,"['Regular cautionary measures', 'No']",['No information']
Georgia,"['Potential threat (Level 2): Recommended to take increased cautionary measures: Pankisi Gorge in the east of the country. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of the country.', 'Pankisi Gorge']","""Due to concerns about terrorist activity by terrorist elements in the Pankisi Gorge region (eastern Georgia),"" there is a risk to the security of Israeli tourists visiting the area."""""
Ghana,"['Regular cautionary measures', 'No']",['No information']
Guatemala,"['Regular cautionary measures', 'No']",['No information']
Guyana,"['Regular cautionary measures', 'No']",['No information']
Djibouti,"['High threat level (Level 4): Recommended to avoid travel: About 30 km from the border of Djibouti with Somalia in the south and about 30 km from the border of Djibouti with Eritrea in the north. Potential threat (Level 2): Recommended to take increased cautionary measures: Rest of the country.', 'Entire country']","""Due to the fear of terrorist activity by the Somali organization Al-Shabaab,"" it is advisable to take increased cautionary measures while staying in Djibouti. Additionally"""
Guinea,"['Regular cautionary measures', 'No']",['No information']
Equatorial Guinea,"['Regular cautionary measures', 'No']",['No information']
Guinea-Bissau,"['Regular cautionary measures', 'No']",['No information']
Jamaica,"['Regular cautionary measures', 'No']",['No information']
Gambia,"['Regular cautionary measures', 'No']",['No information']
Guinea-Conakry,"['Regular cautionary measures', 'No']",['No information']
Germany,"['Regular cautionary measures', 'No']",['No information']
Grenada,"['Regular cautionary measures', 'No']",['No information']
Dominica,"['Regular cautionary measures', 'No']",['No information']
Denmark,"['Regular cautionary measures', 'No']",['No information']
South Africa,"['Regular cautionary measures', 'No']",['No information']
South Sudan,"['Regular cautionary measures', 'No']",['No information']
Haiti,"['Regular cautionary measures', 'No']",['No information']
Maldives,"['Regular cautionary measures', 'No']","""While the country is not subject to a travel warning regarding terrorism,"" given the hostile atmosphere and attitude towards Israelis"""
India,"['High threat level (Level 4): Avoid travel to a specific area - Kashmir', ' excluding Ladakh. No travel warning (Level 1) recommends taking regular cautionary measures: Rest of India.']","['Northern part of the country (Kashmir)', '""In the Kashmir region in northern India (excluding Ladakh)']"
Netherlands,"['Regular cautionary measures', 'No']",['No information']
Hong Kong,"['Regular cautionary measures', 'No']",['No information']
Hungary,"['Regular cautionary measures', 'No']",['No information']
Honduras,"['Regular cautionary measures', 'No']",['No information']
Dominican Republic,"['Regular cautionary measures', 'No']",['No information']
Central African Republic,"['Avoid any visit/stay in the country', 'Entire country']","""Due to extensive terrorist activity and a precarious security situation in all regions of the Central African Republic,"" there is a real risk to Israelis visiting/staying in the country. We recommend avoiding travel to the country's territories."""""
Republic of the Congo,"['Regular cautionary measures', 'No']",['No information']
Vietnam,"['Regular cautionary measures', 'No']",['No information']
Vatican,"['Regular cautionary measures', 'No']",['No information']
Vanuatu,"['Regular cautionary measures', 'No']",['No information']
Venezuela,"['Regular cautionary measures', 'No']",['No information']
Zimbabwe,"['Regular cautionary measures', 'No']",['No information']
Zambia,"['Regular cautionary measures', 'No']",['No information']
Shanhav Beach,"['Avoid non-essential travel', 'Entire country']","""Due to terrorist activity in the country,"" specifically radical Islamist organizations"""
Tajikistan,"['High threat level (Level 4): Avoid travel within 30 kilometers of the common border between Tajikistan and Afghanistan. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of the country.', 'Region along the common border between Tajikistan and Afghanistan']","""We recommend avoiding travel,"" at least 30 kilometers"""
Tuvalu,"['Regular cautionary measures', 'No']",['No information']
Togo,"['High threat level (Level 4) recommends avoiding travel: about 30 km from the border of Togo with Burkina Faso. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of the country.', 'Area along the border between Togo and Burkina Faso (See map)']","""Due to concerns about attacks by various terrorist organizations in northern Togo,"" it is recommended to avoid any travel to the border area with Burkina Faso. In this regard"""
Tonga,"['Regular cautionary measures', 'No']",['No information']
Taiwan,"['Regular cautionary measures', 'No']",['No information']
Tanzania,"['Regular cautionary measures', 'No']",['No information']
Trinidad and Tobago,"['Regular cautionary measures', 'No']",['No information']
Greece,"['Regular cautionary measures', 'No']","""While there is no travel warning for this country in the context of terrorism,"" due to extreme weather events in the country"""
Japan,"['Regular cautionary measures', 'No']",['No information']
Jordan,"['Do not travel to this country', 'In case of stay']","[' leave the country', 'Entire country']"
Kuwait,"['Avoid travel', 'Entire country']","""Due to terrorist activity in the country,"" with an emphasis on radical Islamist organizations"""
Laos,"['Regular cautionary measures', 'No']",['No information']
Lebanon,"['Travel prohibition', 'Entire country']","""Due to the presence of terrorist organizations operating in its territory (Hezbollah,"" Palestinian terror"""
Libya,"['Avoid travel', 'Entire country']","""In this country,"" there has been a civil war for many years"""
Luxembourg,"['Regular cautionary measures', 'No']",['No information']
Latvia,"['Regular cautionary measures', 'No']",['No information']
Liberia,"['Regular cautionary measures', 'No']",['No information']
Lithuania,"['Regular cautionary measures', 'No']",['No information']
Liechtenstein,"['Regular cautionary measures', 'No']",['No information']
Lesotho,"['Regular cautionary measures', 'No']",['No information']
Mauritania,"['Avoid non-essential travel', 'Entire country']","""Mauritania has various terrorist organizations' activities,"" including radical Islamist organizations"""
Mauritius,"['Regular cautionary measures', 'No']",['No information']
Mali,"['Avoid travel', 'Entire country']","""In the country,"" there is activity by several terrorist organizations"""
Madagascar,"['Regular cautionary measures', 'No']",['No information']
Mozambique,"['High threat level (Level 4) recommends avoiding travel: Northern part of the country. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of Mozambique.', 'Northern part of the country (See map)']","""Due to terrorist activity by extreme Islamic groups in the Cabo Delgado region in the northern part of the country,"" against government and civilian targets"""
Moldova,"['Regular cautionary measures', 'No']",['No information']
Mongolia,"['Regular cautionary measures', 'No']",['No information']
Montenegro,"['Regular cautionary measures', 'No']",['No information']
Monaco,"['Regular cautionary measures', 'No']",['No information']
East Timor (Democratic Republic),"['Regular cautionary measures', 'No']",['No information']
Myanmar,"['Regular cautionary measures', 'No']",['No information']
Micronesia,"['Regular cautionary measures', 'No']",['No information']
Malawi,"['Regular cautionary measures', 'No']",['No information']
Malaysia,"['Avoid non-essential travel', 'Entire country']","""Due to the presence of radical Islamic elements in parts of the country,"" along with deep animosity towards Israel from segments of the population"""
Malta,"['Regular cautionary measures', 'No']",['No information']
Egypt,"['Do not travel to this country', 'In case of stay']","[' leave the country', 'Entire country']"
Mexico,"['Regular cautionary measures', 'No']",['No information']
Morocco,"['Take enhanced cautionary measures', 'Entire country']","""Due to the concern that terrorist elements will attempt to harm Israelis residing in Morocco,"" against the background of the """"Iron Swords"""" war"""
Nauru,"['Regular cautionary measures', 'No']",['No information']
Norway,"['Regular cautionary measures', 'No']",['No information']
Nigeria,"['High threat level (Level 4) recommends avoiding travel: Northern part of the country. Occasional threat (Level 2) recommends taking enhanced cautionary measures: Southern part of the country.', 'Entire country']","""Due to continuous terrorist activity by the """"Boko Haram"""" organization,"" with emphasis on the northern part of the country"""
New Zealand,"['Regular cautionary measures', 'No']",['No information']
Niger,"['Avoid non-essential travel', 'Entire country']","""Due to JNIM (Group for Support of Islam and Muslims) threats in the northern part of the country and terrorist activity by the """"Boko Haram"""" organization in the south,"" there is a threat of kidnapping and attacks against local and foreign targets"""
Nicaragua,"['Regular cautionary measures', 'No']",['No information']
Namibia,"['Regular cautionary measures', 'No']",['No information']
Nepal,"['Regular cautionary measures', 'No']",['No information']
Sao Tome and Principe,"['Regular cautionary measures', 'No']",['No information']
Sudan,"['Avoid non-essential travel', 'Entire country']","""Due to the ongoing terrorist threats in Sudan and deep animosity from the Muslim street towards Israel,"" there is a tangible and real risk to the security of Israeli citizens visiting/staying in the country."""""
Swaziland,"['Regular cautionary measures', 'No']",['No information']
Somalia,"['Avoid travel', 'Entire country']","""Due to persistent terrorist threats in Somalia and profound hostility from the Muslim street towards Israel,"" there is a concrete terrorist threat to Israelis visiting/staying in the country."""""
Syria,"['Travel prohibition', 'Entire country']","""Due to the consolidation of terrorist elements in the country,"" with an emphasis on Iran and Hezbollah"""
Suriname,"['Regular cautionary measures', 'No']",['No information']
Sierra Leone,"['Regular cautionary measures', 'No']",['No information']
China,"['Regular cautionary measures', 'No']",['No information']
Singapore,"['Regular cautionary measures', 'No']",['No information']
Egypt (Sinai Peninsula),"['Avoid non-essential travel', 'Sinai Peninsula']","""Due to concerns that terrorist elements will attempt to harm Israelis residing in the Sinai Peninsula,"" against the background of the """"Iron Swords"""" war"""
Slovenia,"['Regular cautionary measures', 'No']","""While there is no travel warning for this country in the context of terrorism,"" due to the floods in the country"""
Slovakia,"['Regular cautionary measures', 'No']",['No information']
Samoa,"['Regular cautionary measures', 'No']",['No information']
San Marino,"['Regular cautionary measures', 'No']",['No information']
Senegal,"['Eastern part of the country: Moderate threat level (Level 3) recommends avoiding non-essential travel; Rest of Senegal: No travel warning (Level 1) recommends taking regular cautionary measures', '""Eastern part of the country']","[' see map""', 'Western African terrorist organizations']"
Saint Vincent and the Grenadines,"['Regular cautionary measures', 'No']",['No information']
Saint Lucia,"['Regular cautionary measures', 'No']",['No information']
Saint Kitts and Nevis,"['Regular cautionary measures', 'No']",['No information']
Spain,"['Regular cautionary measures', 'No']",['No information']
Serbia,"['Regular cautionary measures', 'No']",['No information']
Sri Lanka,"['Regular cautionary measures', 'No']",['No information']
Oman,"['Avoid non-essential travel', 'Entire country']","""Due to potential terrorist threats,"" there are risks to the security of Israeli citizens visiting/staying in Oman."""""
Iraq,"['Travel prohibition', 'Entire country - including the Kurdish region']","""Due to widespread terrorist activities of various terrorist organizations in the country,"" some of which have declared their intention to harm Israel"""
Saudi Arabia,"['Travel prohibition', 'Entire country']","""Due to extensive extremist terrorist infrastructure and deep public animosity towards Israel,"" there is a severe risk of terror to any Israeli visiting/staying in the country. Moreover"""
Palau,"['Regular cautionary measures', 'No']",['No information']
Poland,"['Regular cautionary measures', 'No']",['No information']
Portugal,"['Regular cautionary measures', 'No']",['No information']
Fiji,"['Regular cautionary measures', 'No']",['No information']
Philippines,"['High threat level (Level 4): Avoid travel to the region: Mindanao and the Sulu Archipelago - Southern part of the country. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of the Philippines.', '""Entire Mindanao (Southern Philippines) and the Sulu Archipelago']","[' see map""', '""Due to the presence and activity of terrorist organizations in the Mindanao region and the Sulu Archipelago']"
Finland,"['Regular cautionary measures', 'No']",['No information']
Panama,"['Regular cautionary measures', 'No']",['No information']
Papua New Guinea,"['Regular cautionary measures', 'No']",['No information']
Pakistan,"['Avoid travel', 'Entire country']","""Due to intensive presence and activity of terror groups and extreme Islamic elements throughout Pakistan,"" coupled with hostile sentiments towards Israel"""
Paraguay,"['Regular cautionary measures', 'No']",['No information']
Peru,"['Regular cautionary measures', 'No']",['No information']
North Macedonia,"['Regular cautionary measures', 'No']",['No information']
Chad,"['Moderate threat level (Level 3): Avoid non-essential travel: Southwestern part of the country. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of Chad.', '""Southwest Chad']","[' see map""', '""The terror organization """"Boko Haram"""" carries out terror attacks in Chad']"
Chile,"['Regular cautionary measures', 'No']",['No information']
Czech Republic,"['Regular cautionary measures', 'No']",['No information']
France,"['Regular cautionary measures', 'No']",['No information']
Chechnya (Russia),"['Avoid travel', 'Entire country']","""Due to the presence of terror groups in Chechnya,"" there is a risk to the security and well-being of Israelis visiting/staying in the country."""""
Cuba,"['Regular cautionary measures', 'No']",['No information']
Colombia,"['Regular cautionary measures', 'No']",['No information']
Kosovo,"['Regular cautionary measures', 'No']",['No information']
Costa Rica,"['Regular cautionary measures', 'No']",['No information']
Comoros (Comoros Islands),"['Regular cautionary measures', 'No']",['No information']
Congo (Democratic Republic),"['High threat level (Level 4) recommends avoiding travel: Eastern part of the country', ' Northern part of the country']","[' and Kasai provinces in the south. Occasional threat (Level 2) recommends taking enhanced cautionary measures: Rest of Congo.""', '""Northern provinces (North) Kivu']"
North Korea,"['Regular cautionary measures', 'No']",['No information']
North Korea,"['Regular cautionary measures', 'No']",['No information']
Kazakhstan,"['Regular cautionary measures', 'No']",['No information']
Qatar,"['Avoid non-essential travel', 'Entire country']","""Due to the anti-Israel sentiment in Qatar and the presence of terror elements,"" there are risks to the security of Israelis visiting/staying in Qatar."""""
Cape Verde,"['Regular cautionary measures', 'No']",['No information']
Kyrgyzstan,"['Regular cautionary measures', 'No']",['No information']
Kiribati,"['Regular cautionary measures', 'No']",['No information']
Cambodia,"['Regular cautionary measures', 'No']",['No information']
Cameroon,"['High threat level (Level 4): Avoid travel to the northern part of the country. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of the country.', 'Northern part of the country (See map)']","""The terrorist organization ""Boko Haram"" carries out attacks against various targets in northwestern Cameroon,"" near the border with Nigeria. The main threat is kidnapping attacks alongside attacks on local and Western targets."""""
Canada,"['Regular cautionary measures', 'No']",['No information']
Kenya,"['Medium threat level (Level 3) recommends avoiding non-essential travel to the north and east of the country. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of the country.', 'North and east of Kenya (See map)']","""Islamic terrorist organizations (led by the Somali Al-Shabaab associated with Al-Qaeda) operate in Kenya in the border area with Somalia and the coastal strip,"" in the depth of the country"""
Cyprus,"['Regular cautionary measures', 'No']","""Cyprus has no travel warning in the context of terrorism; however,"" the northern part has a travel warning from the Ministry of Foreign Affairs"""
Croatia,"['Regular cautionary measures', 'No']",['No information']
Rwanda,"['Regular cautionary measures', 'No']",['No information']
Romania,"['Regular cautionary measures', 'No']",['No information']
Russia,"['High threat level (Level 4): Do not go to the northern Caucasus region. No travel warning (Level 1) for the rest of the country.', '""The republics of Adygea']","[' Chechnya', ' Dagestan']"
Sweden,"['Regular cautionary measures', 'No']",['No information']
Switzerland,"['Regular cautionary measures', 'No']",['No information']
Thailand,"['High threat level (Level 4): Avoid travel to the southern part of the country (excluding the islands). No travel warning (Level 1) recommends taking regular cautionary measures for the rest of Thailand.', '""Provinces of Yala']","[' Songkhla', ' Pattani']"
Tunisia,"""High threat level (Level 4): Avoid travel to the western part of the country,"" the area near the borders with Algeria and Libya""","[' and the southern part of the country. Medium threat level (Level 3): Avoid non-essential travel to the rest of the country.""', 'Entire country']"
Turkey,"['Do not travel to this country', 'In case of stay']","[' leave the country', 'Entire country']"
Turkmenistan,"['Regular cautionary measures', 'No']",['No information']
Yemen,"['Avoid travel', 'Entire country']","""Due to the existence of terrorist infrastructure in the country (with an emphasis on the Houthis),"" there is a severe risk of terrorism against any Israeli citizens visiting/staying in Yemen. Furthermore"""
