Country,Warning Level,Recommendation,The Threatened Area,Detail
Georgia,2,Enhanced Caution Measures,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Guyana,1,Normal Precautionary Measures,Not Applicable,No information available.
Djibouti,02\04,"High threat level (level 4), Avoid travel: Approximately 30 km from Djibouti's border with Somalia in the south and 30 km from Djibouti's border with Eritrea in the north. Elevated threat level (level 2) ג€“ Exercise increased caution: Remaining areas of the country.""","Entire country,Due to concerns about terrorist activity by the Somali group """"Al-Shabaab", exercise increased caution when staying in Djibouti. Additionally
Jamaica,1,"""Normal cautionary measures""",,"""No information,nan"""
Germany,2,"""Enhanced cautionary measures""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terrorist elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced cautionary measures."""
Grenada,1,"""Normal cautionary measures""",,"""No information,nan"""
Maldives,2,"""Enhanced cautionary measures""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terrorist elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced cautionary measures."""
Hong Kong,1,"""Normal cautionary measures""",,"""No information,nan"""
Central African Republic,4,Avoid any visit/stay in the country,Throughout the country,"Due to widespread terrorism and a volatile security situation in all regions of the Central African Republic, there is a real risk to Israelis who visit/stay in the country. We recommend avoiding travel to the country."
Zambia,2,Heightened precautions,Throughout the country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, including protests, incitement, and anti-Semitic incidents. Additionally, there is an increased motivation for terrorist elements to target Israelis/Jews wherever they are. Therefore, it is recommended to exercise heightened precautions when staying in the country."
Tajikistan,02\03,"High threat level (Level 4): Avoid any visit within 30 kilometers of the common border between Tajikistan and Afghanistan due to a concrete concern that terrorist elements operating in Afghanistan may attempt to harm/kidnap tourists, including Israelis. Medium threat level (Level 3): Avoid non-essential travel to the rest of the country.",Throughout the country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, including protests, incitement, and anti-Semitic incidents. Additionally, there is an increased motivation for terrorist elements to target Israelis/Jews residing in the country. Therefore, it is recommended to consider non-essential travel to this country."
Tuvalu,1,"""Regular Caution Measures""",,"""No information available,nan"""
Tonga,1,Normal precautions,No information available,No information available
Greece,2,Enhanced caution measures,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in terrorist motivations to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Lebanon,4,Travel prohibition,Entire country,"Due to the presence of terrorist organizations operating in the country (Hezbollah, Palestinian terrorism, and global Jihad), and deep-seated animosity towards Israel, there is a severe terrorism risk for all Israeli citizens visiting/staying in Lebanon. Moreover, according to the ""Infiltration Law,"" Israeli residents are prohibited from visiting this country."
Liberia,2,Enhanced caution measures,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in terrorist motivations to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Mali,4,Avoid arrival,Entire country,"In the country, there is activity by several terrorist organizations, such as the ""Islamic State"" and Jama'at Nusrat al-Islam wal-Muslimin (JNIM) associated with al-Qaeda. Concurrently, local groups like the MNLA operate in the region. These organizations carry out attacks against various targets, posing a significant threat to Israelis visiting Mali."
Mozambique,01\02,High threat level (Level 4) - Avoid arrival: Northern part of the country due to terror activity by extreme Islamic groups in the Cabo Delgado region. Opportunistic threat (Level 2) - Take enhanced caution measures: Rest of Mozambique.,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in terrorist motivations to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Mexico,1,Regular precautions,None,No information
Morocco,3,Take increased precautions,Entire country,"Due to concerns that terrorist elements will try to harm Israelis residing in Morocco, especially against the backdrop of the ""Swords of Iron"" war, it is advisable to avoid non-essential travel to this country."
Sudan,4,Avoid any visit/stay in the country,Entire country,"Following the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terror elements to harm Israelis/Jews residing in the country. Therefore, it is recommended not to travel to this country."
Slovenia,1,Normal precautions,No information available,"While there is no specific terrorism-related travel warning for this country, due to the floods in the country, the Ministry of Foreign Affairs has issued recommendations for Israelis planning to visit the country."
Slovakia,1,Normal precautions,No information available,No information available
Senegal,3,Avoid non-essential travel,Entire country,"Following the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terror elements to harm Israelis/Jews residing in the country. Therefore, it is recommended to consider non-essential trips to this country."
Spain,2,Enhanced precautions,Entire country,"Following the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terror elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced precautions."
Oman,4,Avoiding any visit/stay in the country.,Whole country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terrorist elements to harm Israelis/Jews residing in the country. In light of this, it is recommended not to visit this country."
Iraq,4,"A prohibition on entry to Iraq, including the Kurdish region.",Whole country - including the Kurdish region,"Due to extensive terrorist activity in the country, some of which have declared their intention to harm Israel, there is a real risk to Israelis visiting/staying in the country, including the Kurdish region in northern Iraq. Moreover, according to the ""Infiltration Law,"" Israeli citizens are prohibited from visiting this country."
Peru,1,Regular precautionary measures,NA,No information available.
Democratic Republic of the Congo,04\02,"High threat level (Level 4) - Avoidance recommended: East of the country, North of the country, and Kasaֳ¯ regions. Opportunistic threat (Level 2) - It is recommended to take enhanced precautionary measures: Rest of Congo.","Nord (North) Kivu, Sud (South) Kivu, Ituri, Haut-Uele, Bas-Uele, Tanganyika, and three Kasaֳ¯ regions.","Since 2019, an increase in the activity of various terrorist organizations (including operatives of the ""Islamic State"") has been identified in several provinces in the east, south, and north of Congo. There is a risk to the security and well-being of Israelis visiting/staying in these areas."
North Korea,1,Regular precautions,NA,No information
Qatar,4,Avoid any visit/stay in the country,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terror elements to harm Israelis/Jews residing in the country. In light of this, it is recommended not to visit this country."
Kyrgyzstan,3,Enhanced precautions,NA,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terror elements to harm Israelis/Jews residing in the country. In light of this, it is recommended to consider non-essential travel to this country."
Cambodia,1,Regular precautions,NA,No information
Australia,2,Enhanced precautionary measures,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, centered around protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motives to harm Israelis/Jews wherever they are. Therefore, residents in the country are advised to take enhanced precautionary measures."
United Arab Emirates,3,Avoid non-essential travel,Entire country,"There is ongoing terrorist activity in the UAE, posing a real risk to Israelis residing/visiting the country."
Italy,2,Enhanced precautionary measures,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, centered around protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motives to harm Israelis/Jews wherever they are. Therefore, residents in the country are advised to take enhanced precautionary measures."
Indonesia,04\03,"High threat level (Level 4) ג€“ Recommended to avoid: Western Papua, Sulawesi Islands, Sumatra, Aceh Province, and parts of Java. Moderate threat level (Level 3) ג€“ Non-essential travel is advised to be avoided: Rest of Indonesia.",Entire country,"Due to the terrorist activities of Muslim organizations in various areas of Indonesia, targeting government and civilian targets, there is a concern for the safety of Israelis residing/visiting the country."
Angola,2,Enhanced precautions,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, including protests, incitement, and anti-Semitic incidents. Also, there is an increase in terrorist motivations to target Israelis/Jews wherever they are. In light of this, it is recommended for those staying in the country to take enhanced precautions."
Andorra,1,Normal precautions,None,No information available.
Armenia,1,Normal precautions,None,No information available.
Bhutan,1,Normal Precautionary Measures,Not Applicable,"No information available."""
Bulgaria,2,Enhanced Caution Measures,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Bangladesh,4,Avoid Any Visit/Stay in the Country,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews residing in the country. Therefore, it is recommended not to visit this country."
Brunei,3,Avoid Non-Essential Travel,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews residing in the country. Therefore, it is recommended to consider avoiding non-essential travel to this country."
Gambia,2,"""Enhanced cautionary measures""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terrorist elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced cautionary measures."""
South Africa,3,"""Enhanced cautionary measures""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terrorist elements to harm Israelis/Jews living in the country. Therefore, it is recommended to consider non-essential travel to this country."""
India,04\02,"High threat level (level 4), Avoid all visits/stays in the country: Kashmir region"," except for Ladakh due to a tangible and concrete terrorist threat. Elevated threat level (level 2) ג€“ Exercise increased caution: Remaining areas of India.""","Entire country,Due to the heightened animosity towards Israelis and Jews worldwide following the """"Iron Blades"""" war"
Hungary,2,"""Enhanced Caution Measures""",Entire Country,"""Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, focusing on protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terrorist elements to harm Israelis/Jews wherever they are. In light of this, it is recommended to stay in the country and take enhanced caution measures."""
Vietnam,1,Normal precautions,No information available,No information available
Ivory Coast,3,"""Avoid non-essential travel""",Entire Country,"""Due to terrorist activities in the country, including radical Islamic organizations, there is a concrete threat to the security of Israeli citizens residing in the Ivory Coast."""
United Republic of Tanzania,2,"""Enhanced Caution Measures""",Entire Country,"""Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, focusing on protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terrorist elements to harm Israelis/Jews wherever they are. In light of this, it is recommended to stay in the country and take enhanced caution measures."""
Japan,1,Normal caution measures,Not available,No information
Lithuania,1,Normal caution measures,Not available,No information
Lesotho,2,Enhanced caution measures,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in terrorist motivations to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Mauritania,4,Avoid any visit/stay in the country,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in terrorist motivations to target Israelis/Jews residing in the country. Therefore, it is recommended not to visit this country."
Mauritius,2,Enhanced caution measures,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in terrorist motivations to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Madagascar,2,Enhanced caution measures,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in terrorist motivations to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Moldova,1,Normal caution measures,Not available,No information
Monaco,1,Regular precautions,None,No information
Myanmar,1,Regular precautions,None,No information
Malta,2,Increased precautions,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, focusing on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motivation to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take increased precautions."
Niger,3,Avoid non-essential travel,Entire country,"Due to the threat of JNIM (Group for Support of Islam and Muslims) in the northern part of the country and terrorist activities in West Africa (""Boko Haram"" organization) from the south, there is a threat of kidnappings and attacks against local and Western targets, including Israelis and Jews."
Nicaragua,1,Regular precautions,None,"The country does not have a travel warning regarding terrorism. However, due to the negative atmosphere and attitude towards Israelis, the Ministry of Foreign Affairs recommends avoiding travel to the country at this time. [More information](https://www.gov.il/he/departments/publications/reports/nicaragua181223)"
Namibia,2,Increased precautions,Entire country,"Due to the ""Swords of Iron"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, focusing on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motivation to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take increased precautions."
Nepal,1,Regular precautions,None,No information
Somalia,4,Avoidance,Entire country,"Due to persistent terrorism threats in Somalia and deep-seated animosity from the Muslim population towards Israel, there is a credible and ongoing terrorist threat to Israelis visiting/staying in this country."
China,2,Enhanced precautions,Entire country,"Following the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terror elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced precautions."
Sri Lanka,1,Normal precautions,No information available,No information available
Palau,1,Regular precautionary measures,NA,No information available.
Poland,1,Regular precautionary measures,NA,No information available.
Fiji,1,Regular precautionary measures,NA,No information available.
Chile,2,Enhanced precautionary measures,Whole country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terrorist elements to harm Israelis/Jews wherever they are. In light of this, it is recommended for those staying in the country to take enhanced precautionary measures."
Czech Republic,1,Regular precautionary measures,NA,No information available.
France,2,Enhanced precautionary measures,Whole country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terrorist elements to harm Israelis/Jews wherever they are. In light of this, it is recommended for those staying in the country to take enhanced precautionary measures."
Chechnya (Russia),4,Prohibition of entry,Whole country,"Due to the presence of terrorist elements in Chechnya, there is a risk to the security and well-being of Israelis who visit/stay in the country."
Costa Rica,1,Regular precautionary measures,NA,No information available.
Cape Verde,2,Enhanced precautions,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terror elements to harm Israelis/Jews where they are. Therefore, it is recommended for residents in the country to take enhanced precautions."
Cameroon,04\02,"High threat level (Level 4) - Avoid travel to the north of the country due to the presence of the ""Boko Haram"" terror organization. Occasional threat (Level 2) - Take enhanced precautions in the rest of the country.",Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terror elements to harm Israelis/Jews where they are."
Cyprus,1,Regular precautions,NA,"There is no travel warning for Cyprus in the context of terrorism. However, the northern part is subject to a travel warning by the Ministry of Foreign Affairs, and it is recommended to update details for those planning to visit the northern part of Cyprus."
Rwanda,2,Enhanced precautions,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terror elements to harm Israelis/Jews where they are. Therefore, it is recommended for residents in the country to take enhanced precautions."
Switzerland,1,Regular precautions,NA,No information
Tunisia,4,"High threat level (Level 4) - It is recommended to avoid travel: Due to concerns about terrorist activity, especially in the western part of the country, the area near the borders with Algeria and Libya, and the southern areas of the country.",Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terror elements to harm Israelis/Jews residing in the country. In light of this, it is recommended not to visit this country."
Turkey,4,"Do not travel to this country, and in case of stay, leave the country.",Entire country,"Due to the fear that terror elements will try to harm Israelis residing in Turkey, it is advisable to avoid traveling to this country, and in case of stay, leave the country."
Yemen,4,Prohibited to arrive,Entire country,"Due to the existence of terrorist infrastructures in the country (with an emphasis on the Houthis), there is a severe risk of terrorism for all Israeli citizens visiting/staying in Yemen. Additionally, according to the ""Infiltration Law,"" Israeli residents are forbidden to visit this country."
Uruguay,1,Normal precautionary measures,N/A,No information available.
Ukraine,2,Enhanced precautionary measures,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, centered around protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motives to harm Israelis/Jews wherever they are. Therefore, residents in the country are advised to take enhanced precautionary measures."
Marshall Islands,1,Normal precautionary measures,N/A,No information available.
Albania,3,Avoid non-essential travel,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, including protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motivations to target Israelis/Jews residing in the country. In light of this, it is recommended to consider non-essential travel to this country."
Algeria,4,Avoid visiting,Entire country,"The country has terrorist activity, with recent attacks by groups such as JNIM and ISIS, holding strongholds in the country. Anti-Israel hostility is also present in Algerian streets. Therefore, there is a real security risk for Israelis visiting/staying in this country."
Antigua and Barbuda,1,Normal precautions,None,No information available.
Estonia,1,Normal precautions,None,No information available.
Ethiopia,01\02,Occasional threat (Level 2) - Enhanced precautions recommended: South and East of the country. No travel advisory (Level 1) - Normal precautions recommended: Rest of the country.,South and East of the country (see map),"Due to concerns about the presence of terrorist infrastructure of the Al-Shabaab organization in the country and their activity, there is a persistent potential threat to harm Israelis/Jews residing in the Somali region of Ethiopia and the border area with Djibouti. Please note that Ethiopia is also under a travel advisory from the Ministry of Foreign Affairs."
Bosnia and Herzegovina,3,Avoid Non-Essential Travel,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews residing in the country. Therefore, it is recommended to consider avoiding non-essential travel to this country."
Burundi,2,Enhanced Caution Measures,Not Applicable,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Burkina Faso,4,Avoid Visiting the Country,Entire Country,"In recent years, there has been a noticeable escalation in terrorist activity in the country by global Jihadist elements. In this context, terrorist attacks, including attacks on tourist targets in the capital, have occurred, including an attack on the French embassy building. Therefore, there is a risk to the lives of Israelis visiting this country."
Bahrain,4,"""Avoid visiting the country""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in violence against Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Also, there is an increase in the motivation of terrorist elements to target Israelis/Jews wherever they are. In light of this, it is recommended not to visit this country."""
Benin,2,Enhanced Caution Measures,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Guinea,2,"""Enhanced cautionary measures""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terrorist elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced cautionary measures."""
Dominica,1,"""Normal cautionary measures""",,"""No information,nan"""
South Sudan,2,"""Enhanced cautionary measures""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terrorist elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced cautionary measures."""
Netherlands,2,"""Enhanced cautionary measures""",Entire country,"""Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. There is also an increase in the motivation of terrorist elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced cautionary measures."""
Republic of the Congo,2,Heightened precautions,Throughout the country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, including protests, incitement, and anti-Semitic incidents. Additionally, there is an increased motivation for terrorist elements to target Israelis/Jews wherever they are. Therefore, it is recommended to exercise heightened precautions when staying in the country."
Venezuela,2,Heightened precautions,Throughout the country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, including protests, incitement, and anti-Semitic incidents. Additionally, there is an increased motivation for terrorist elements to target Israelis/Jews wherever they are. Therefore, it is recommended to exercise heightened precautions when staying in the country."
Togo,04\02,"High threat level (Level 4): Avoid any visit/stay in the country, approximately 30 km from the Togo border with Burkina Faso. Occasional threat (Level 2): Exercise heightened precautions for the rest of the country.",Throughout the country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, including protests, incitement, and anti-Semitic incidents. Additionally, there is an increased motivation for terrorist elements to target Israelis/Jews wherever they are. Therefore, it is recommended to exercise heightened precautions when staying in the country."
Trinidad and Tobago,1,Normal precautions,No information available,No information available
Jordan,4,Do not travel to this country,Entire country,"Due to concerns that terrorists will target Israelis residing in Jordan, especially in the context of the ""Swords of Iron"" war, it is advised to avoid traveling to this country, and if staying, leave the country."
Libya,4,Avoid arrival,Entire country,"In this country, there has been a long-standing civil war alongside extensive activities of numerous terrorist organizations, some with local agendas. Terror attacks and violent actions are common in Libya, posing a serious risk to Israelis visiting Libya."
Luxembourg,1,Normal caution measures,Not available,No information
Liechtenstein,1,Normal caution measures,Not available,No information
East Timor,1,"""Normal Precautions""",No information available,"""No information available"""
Nigeria,04\02,High threat level (Level 4) - Avoid travel: Northern part of the country. Occasional threat (Level 2) - Take increased precautions: Southern part of the country,Entire country,"Due to ongoing activities of the terror organization ""Boko Haram,"" with an emphasis on the northern part of the country, there is a persistent potential threat throughout the country. It should be noted that a more severe threat exists in the northern part of the country."
Sao Tome and Principe,2,Enhanced precautions,Entire country,"Following the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terror elements to harm Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced precautions."
Suriname,1,Normal precautions,No information available,No information available
Egypt (Sinai Peninsula),4,Do not travel to this country, and if staying, leave the country
Saint Vincent and the Grenadines,1,Normal precautions,No information available,No information available
Saint Kitts and Nevis,1,Normal precautions,No information available,No information available
Republic of Serbia,1,"""Normal precautions""",No information available,"""No information available"""
Philippines,04\02,High threat level (Level 4) - South of the country: It is recommended to avoid visiting Mindanao region and the Sulu Archipelago due to the presence and activities of terrorist organizations; Opportunistic threat (Level 2) - It is recommended to take enhanced precautionary measures: Rest of the Philippines.,Whole country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, manifested in protests, incitement, and anti-Semitic incidents. Additionally, there is a rise in the motivation of terrorist elements to harm Israelis/Jews wherever they are. In light of this, it is recommended for those staying in the country to take enhanced precautionary measures."
Finland,1,Regular precautionary measures,NA,No information available.
